,tweets
0, 'guess the autograph! \n\ncan you guess the footballer who signed this shirt?...hint: he has irish ancestry and has won the world cup 🏆\n\n
1, 'are you okay nadir ali
2, 'holy grail of world cup tickets #worldcup2022 #worldcup #memorabilia #ticket 
3, 'they define hardwork and talent 💯🤍.\n\n#ronaldo #messi #football #era #champions #ucl #portugal  #argentina #worldcup2022 
4, 'this is for you indians\ni like when you compare babar with virat and i wish you will continue it. because babar is and will be  breaking records of virat.\n#pakvnz #ipl #babarazam𓃵 #viratkohli #bcci #indians #worldcup2022 #indian #srk𓃵 #srhvskkr 
5, 'back to back blockbuster games !!! #worldcup2022\n\nwhat a night\nweekend cant better'
6, 'happy birthday the mother of la joya 💎👑  alicia we all loves u soo muchhh ❤️ god bless you
7, 'still affected by the world cup❤️🇲🇦 #morocco #football #worldcup2022 
8, 'we will never forget how nico cantor showed stunning passion and love for our beloved team of morocco 🇲🇦 i get goose bumps every time i watch this video
9, 'merci @nicocantor1 pour ce moment  et cette vidéo qui restera un grand souvenir 🇲🇦 
10," ""in walsh's tenure"
11, 'a historic performance deserves some historic appreciation 🙌🏼 #lovindoha #messi #worldcup2022 via @thescudman 🇶🇦 
12, 'catch your cheating spouse #cheat #betrayal #unfaithful #worldcup2022\n#100daysofcode #spying #investigating #javascript #housewifeday #cheating #cheatingwife #cheatingboyfriend #cheatingpartner #cheatinghousewife #cheatingmen t\n\nis there any hacking attempts on your 
13, 'favorite moment in world cup 2022🇵🇰❤️❤️\n#babarazam𓃵 #rizwan #shaheenafridi #worldcup2022 
14, 'stream to 2b for jungkook \n#streamforjungkook \n#jungkook #kookie #jeonjungkook #dreamers #worldcup2022 #qatar2022 
15, 'today’s running 🏃🏻\u200d♂️ kit. #️⃣7️⃣7️⃣\n‘lamb of god’ 🐑🤘🏻 in the ears 🎧
16, '🕌eid prayers will be hosted at the education city stadium for the first time ever
17, 'for the first time ever
18," ""afghani bowler took buttler's wicket"
19, '⚪️england⚪️\ndefensive transition report \n\n⚽️world cup qatar 2022\n🆚 england vs iran\n🕒 21.11.2022 16:00\n🏟️ al thumama stadium\n\ndata collected by @hudl sportscode\n\n#football #worldcup2022 #england #iran 
20, 'cause $alpine #sports #football #crypto project pumping!\n\ni expect #p2e #nft #predictipn project $nfrb good movement!\n\n#football seems to be possible meta even if the #worldcup2022 is over!\n\ndaily just breaking out 🏌️\u200d♂️ 
21, 'bringing the quran to latin america | vlog #9 #worldcup2022 
22, '$nrfb gearing up! fan token 
23," ""@amitttrmfc wanted to make a compilation of cristiano's goals in the world cup 2022. apparently you can't make a compilation with 1 pk goal. pendu ruined my mood. 😭😭 "
24, 'world cup 2022 vibes were unmatched 😂 
25, 'the media mentioned jungkook again for his impact with dreamers: \n\n&lt; (...) there are a tremendous amount of fans waiting for their favourite k-pop idols to bless the sands of qatar
26, 'nostalgic for world cup 2022?\n\nkick off your visit to qatar today with #qatarairways and hayya\n\n@hiaqatar \n@visitqatar 
27, 'lionel messi in world cup 2022:\n\n🇸🇦 saudi arabia: ⚽️\n🇲🇽 mexico: ⚽️🅰️ + motm\n🇵🇱 poland:❌️\n🇦🇺 australia: ⚽️ + motm\n🇳🇱 netherlands: ⚽️🅰️ + motm\n🇭🇷 croatia: ⚽️🅰️ + motm\n🇫🇷 france: ⚽️⚽️ + motm\n\none of the best world cup performances ever. 🐐 
28, 'most runs for india in asia cup 2022.\nmost runs in t20 world cup 2022.\nmost runs for india in bgt 2023.\nmost runs for rcb in ipl 2023. \n\nking kohli has been in some ridiculous touch since asia cup 2022. 
29, 'project file by recailed yassine bounou bono morocco world cup 2022 wc soccer football sevilla fc fancam edit 
30, 'if the talks are to believed
31, 'media: “the hallyu wave has finally arrived in qatar…there are a tremendous amount of fans waiting for their favourite k-pop idols to bless the sands of qatar
32, 'a flying finish from freddie 🇸🇪\n\n@freddie | #fifaworldcup 
33, 'almost 4 months since he won world cup 2022
34, '🚨rudi garcia apparently played the world cup 2022 theme song through the speaker in the dressing room of al nassr. cristiano immediately asked him to stop it and walked out of the room. this is why al nassr have sacked him. @marca🏅 
35, 'back in action 🔙\n\nsaudi arabia and al hilal full-back al shahrani played his opening minutes since injury at world cup 2022 🏟\n\n#roshnsaudileague | @alhilal_en | @iyasser12 
36, 'only player to score both in champions league and world cup final and win the both trophies (being to both finals more than once)\nwon:\nworld cup(2022) and\nucl (2006
37, 'most runs for india in asia cup 2022.\nmost runs in t20 world cup 2022.\nmost runs for india in bgt 2023.\nmost runs for rcb in ipl 2023. \n\nking kohli has been in some ridiculous touch since asia cup 2022. 
38, 'consistent kohli !!\n•most runs for india in asia cup 2022.\n•most runs in t20 world cup 2022.\n•most runs for india in bgt 2023.\n•most runs for rcb in ipl 2023. 
39, 'most runs for india in asia cup 2022.\nmost runs in t20 world cup 2022.\nmost runs for india in bgt 2023.\nmost runs for rcb in ipl 2023. \n\nking kohli has been in some ridiculous touch since asia cup 2022. 
